"movieId","movieTitle","movieYear","movieURL","movieRank","critic_score","audience_score"
"2da44bd6-2a22-3238-a139-a40ab1769550","Teenage Mutant Ninja Turtles: Mutant Mayhem",2023,"https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem",1,"95%","90%"
"5a357a9a-59a8-387e-b1f1-6cc07ffcb722","Supercop",1992,"https://www.rottentomatoes.com/m/supercop",2,"93%","75%"
"eae2ef37-05e4-3541-9fae-3d1833da5c5b","Kung Fu Panda",2008,"https://www.rottentomatoes.com/m/kung_fu_panda",3,"87%","83%"
"e211c816-7ac6-3ab4-a473-595dd61ff15c","Kung Fu Panda 3",2016,"https://www.rottentomatoes.com/m/kung_fu_panda_3",4,"86%","79%"
"88483d30-5ac8-307f-b58a-5a832c30c321","Drunken Master II",1994,"https://www.rottentomatoes.com/m/legend_of_drunken_master",5,"84%","88%"
"78627772-01c8-37d0-852e-1415b25e0661","Kung Fu Panda 2",2011,"https://www.rottentomatoes.com/m/kung_fu_panda_the_kaboom_of_doom",6,"81%","74%"
"597ffe1e-01f5-30f3-8971-bf08ecc9f1f6","Shanghai Noon",2000,"https://www.rottentomatoes.com/m/shanghai_noon",7,"80%","65%"
"8ef29672-0c55-3b6b-9321-b0b369d39e4b","Rumble in the Bronx",1995,"https://www.rottentomatoes.com/m/rumble_in_the_bronx",8,"80%","65%"
"2db2ddca-a7bf-3b93-b095-39074034fe39","Police Story",1985,"https://www.rottentomatoes.com/m/police_story",9,"93%","88%"
"47020516-eb5c-3fef-93c3-47342a7189fe","Crime Story",1993,"https://www.rottentomatoes.com/m/1074827-crime_story",10,"93%","65%"
"ded45484-7329-3cb7-aa88-195d973d2878","Jackie Chan's Police Story 2",1988,"https://www.rottentomatoes.com/m/police_story_2",11,"84%","77%"
"38473a36-6616-3657-9c15-994c4c4cee84","Operation Condor",1991,"https://www.rottentomatoes.com/m/operation-condor-2-the-armour-of-the-gods",12,"80%","63%"
"e3ad2616-062a-3c12-bc83-6084d6f9ca5c","Little Big Soldier",2010,"https://www.rottentomatoes.com/m/little_big_soldier",13,"79%","69%"
"8153c26b-7984-3cc5-984e-723cdd8a2743","Project A",1983,"https://www.rottentomatoes.com/m/project_a",14,"77%","83%"
"151c5379-9c7c-35a2-9b9e-e45bca856a28","The Armour of God",1986,"https://www.rottentomatoes.com/m/operation_condor",15,"71%","67%"
"96656b99-ddfd-38ce-a756-39648ae70905","Project A 2",1987,"https://www.rottentomatoes.com/m/a-gai-waak-juk-jaap-project-a-part-ii",16,"71%","66%"
"b9a11023-9bee-3bc3-80f8-8ca8253dc293","Who Am I?",1998,"https://www.rottentomatoes.com/m/who_am_i",17,"67%","68%"
"95fa9961-3416-30bc-a03a-fe920795b775","The Big Brawl",1980,"https://www.rottentomatoes.com/m/1002306-big_brawl",18,"67%","43%"
